Ticker,close,date,high,low,open,volume
POWERGRID,199.55,2023-10-03,200.0,196.9,198.75,10830728
POWERGRID,199.0,2023-10-04,199.4,195.4,198.9,14120040
POWERGRID,196.6,2023-10-05,199.5,195.35,199.5,14575590
POWERGRID,197.05,2023-10-06,197.45,194.85,197.0,12857229
POWERGRID,196.25,2023-10-09,196.9,193.75,196.5,7853369
POWERGRID,197.95,2023-10-10,198.55,195.7,196.25,7440527
POWERGRID,198.5,2023-10-11,199.15,197.35,197.35,10031916
POWERGRID,200.75,2023-10-12,202.0,197.35,197.35,21872719
POWERGRID,201.8,2023-10-13,202.4,199.3,200.45,13105921
POWERGRID,203.05,2023-10-16,203.85,200.1,200.3,18336656
POWERGRID,207.15,2023-10-17,209.0,202.6,203.55,19378328
POWERGRID,206.5,2023-10-18,208.45,204.0,208.45,14923328
POWERGRID,205.8,2023-10-19,207.4,202.2,204.0,13192888
POWERGRID,202.85,2023-10-20,205.2,200.9,205.2,22081120
POWERGRID,199.75,2023-10-23,205.15,199.0,202.0,6988219
POWERGRID,199.5,2023-10-25,200.45,197.8,199.0,16817158
POWERGRID,198.95,2023-10-26,200.0,196.3,198.75,11070090
POWERGRID,200.95,2023-10-27,201.8,199.15,199.25,9995487
POWERGRID,200.85,2023-10-30,202.2,197.65,200.95,7679981
POWERGRID,202.15,2023-10-31,202.95,200.55,201.5,7474770
POWERGRID,200.95,2023-11-01,202.35,200.5,202.35,5598615
POWERGRID,203.1,2023-11-02,203.65,200.9,201.75,12924797
POWERGRID,204.4,2023-11-03,206.5,203.1,203.4,8684015
POWERGRID,208.2,2023-11-06,208.95,204.95,205.0,9804415
POWERGRID,208.0,2023-11-07,209.1,205.75,208.2,10730361
POWERGRID,207.0,2023-11-08,209.6,206.65,209.0,7435543
POWERGRID,209.8,2023-11-09,210.5,206.1,207.3,13777877
POWERGRID,211.15,2023-11-10,213.0,209.6,210.5,12066023
POWERGRID,212.0,2023-11-12,213.7,211.7,213.6,1008214
POWERGRID,212.3,2023-11-13,215.1,210.7,212.0,11352269
POWERGRID,210.15,2023-11-15,215.0,209.8,215.0,19182861
POWERGRID,207.2,2023-11-16,208.85,205.7,206.7,27533260
POWERGRID,209.5,2023-11-17,210.7,206.9,207.7,16705395
POWERGRID,209.3,2023-11-20,211.2,208.85,210.1,11156900
POWERGRID,208.95,2023-11-21,210.15,207.95,210.0,9608081
POWERGRID,211.6,2023-11-22,212.6,208.2,208.2,13079580
POWERGRID,210.9,2023-11-23,213.1,209.25,212.05,11382709
POWERGRID,210.45,2023-11-24,212.1,209.5,211.3,7250200
POWERGRID,210.2,2023-11-28,214.45,209.5,214.45,15629209
POWERGRID,211.05,2023-11-29,211.45,209.1,210.3,10062023
POWERGRID,208.95,2023-11-30,212.8,208.25,210.4,60354322
POWERGRID,210.2,2023-12-01,212.45,209.45,211.5,20719909
POWERGRID,212.9,2023-12-04,214.1,211.7,211.7,27914088
POWERGRID,222.3,2023-12-05,223.25,211.55,213.7,40709207
POWERGRID,224.4,2023-12-06,226.25,222.5,226.0,29544730
POWERGRID,230.0,2023-12-07,232.4,224.25,225.0,24534268
POWERGRID,228.6,2023-12-08,233.4,226.45,231.8,22206320
POWERGRID,230.95,2023-12-11,232.9,226.55,228.0,19106395
POWERGRID,231.35,2023-12-12,233.3,229.5,230.0,14355329
POWERGRID,236.95,2023-12-13,237.5,230.6,231.0,26878281
POWERGRID,232.1,2023-12-14,237.6,231.1,237.25,29972018
POWERGRID,237.35,2023-12-15,238.1,227.15,235.0,41341690
POWERGRID,231.85,2023-12-18,236.9,231.45,236.9,29051897
POWERGRID,233.55,2023-12-19,234.4,230.85,232.15,12612164
POWERGRID,227.15,2023-12-20,235.4,226.2,234.95,20400245
POWERGRID,232.35,2023-12-21,233.2,222.7,224.45,17755207
POWERGRID,231.75,2023-12-22,234.2,230.5,233.0,9735375
POWERGRID,233.35,2023-12-26,235.8,231.05,232.0,6772092
POWERGRID,234.05,2023-12-27,235.85,232.5,235.0,10231881
POWERGRID,239.1,2023-12-28,239.95,234.1,235.1,39164340
POWERGRID,237.2,2023-12-29,238.25,234.75,237.8,12665999
POWERGRID,238.25,2024-01-01,239.5,236.4,237.9,5952776
POWERGRID,237.85,2024-01-02,240.1,236.15,240.0,9128513
POWERGRID,237.05,2024-01-03,238.7,234.6,236.0,8284439
POWERGRID,241.45,2024-01-04,243.1,237.05,238.0,19663959
POWERGRID,241.25,2024-01-05,245.0,239.3,242.0,16345257
POWERGRID,242.35,2024-01-08,245.25,240.4,242.4,13585746
POWERGRID,242.3,2024-01-09,244.65,241.5,242.6,8688409
POWERGRID,239.15,2024-01-10,242.1,238.0,241.0,16872195
POWERGRID,241.95,2024-01-11,243.1,239.2,240.25,18812468
POWERGRID,239.5,2024-01-12,242.65,238.8,242.5,11296498
POWERGRID,241.15,2024-01-15,241.5,237.0,240.4,12597366
POWERGRID,239.05,2024-01-16,242.4,237.7,241.65,7478450
POWERGRID,239.2,2024-01-17,241.2,237.7,238.5,13620300
POWERGRID,233.45,2024-01-18,235.7,226.05,227.25,25522629
POWERGRID,235.4,2024-01-19,236.95,232.4,235.0,20931080
